reference_year,adm2_name,biomass
2013,Komonjdjari,4343433.667
2013,Yagha,2795871.226
2013,Yatenga,3772609.591
2013,Bankass,4131111.099
2013,Loroum,1315237.561
2013,Djenne,2616367.224
2013,Seno,2394640.499
2013,Koro,3951646.379
2013,Soum,3580472.969
2013,Bandiagara,3434921.69
2013,Oudalan,2650760.095
2013,Tenenkou,7101524.028
2013,Mopti,3829938.991
2013,Youwarou,2490366.413
2013,Douentza,5343996.271
2013,Niafunke,630427.157
2013,Dire,167569.502
2013,Ansongo,2086582.001
2013,Gourma-Rharous,3844077.78
2013,Gao,1247869.011
2013,Menaka,1319278.353
2013,Bourem,119088.745
2013,Abala,651462.236
2013,Ayerou,262185.211
2013,Banibangou,239485.721
2013,Filingue,1103901.008
2013,Ouallam,999803.047
2013,Say,5456955.391
2013,Tera,2111828.205
2013,Tillia,1286568.752
2013,Torodi,3316951.1
2014,Komonjdjari,4003675.301
2014,Yagha,2369235.937
2014,Yatenga,3650982.666
2014,Bankass,4023202.006
2014,Loroum,1327856.357
2014,Djenne,2536267.615
2014,Seno,1897925.586
2014,Koro,3954835.568
2014,Soum,3247021.997
2014,Bandiagara,3224633.898
2014,Oudalan,1740639.464
2014,Tenenkou,5463392.729
2014,Mopti,3317080.23
2014,Youwarou,1793723.415
2014,Douentza,4484375.599
2014,Niafunke,556835.154
2014,Dire,205277.905
2014,Ansongo,1463901.96
2014,Gourma-Rharous,3066075.283
2014,Gao,1242180.636
2014,Menaka,1377932.295
2014,Bourem,88819.715
2014,Abala,570961.885
2014,Ayerou,178541.959
2014,Banibangou,209870.279
2014,Filingue,949696.002
2014,Ouallam,962391.302
2014,Say,4971138.977
2014,Tera,1667639.405
2014,Tillia,1247741.711
2014,Torodi,2937267.548
2015,Komonjdjari,3949719.978
2015,Yagha,2667581.702
2015,Yatenga,4467185.862
2015,Bankass,5149275.118
2015,Loroum,1626848.145
2015,Djenne,3579365.061
2015,Seno,2497471.125
2015,Koro,5123183.732
2015,Soum,3312007.141
2015,Bandiagara,4383350.128
2015,Oudalan,2236702.488
2015,Tenenkou,7551686.271
2015,Mopti,4658374.247
2015,Youwarou,2919550.442
2015,Douentza,7170001.858
2015,Niafunke,1129909.528
2015,Dire,290176.827
2015,Ansongo,2141032.689
2015,Gourma-Rharous,6238900.009
2015,Gao,2538933.109
2015,Menaka,2889582.274
2015,Bourem,196015.604
2015,Abala,783007.918
2015,Ayerou,297952.878
2015,Banibangou,246065.828
2015,Filingue,1642324.279
2015,Ouallam,1417486.669
2015,Say,4628443.72
2015,Tera,2300031.855
2015,Tillia,1238457.335
2015,Torodi,2715428.325
2016,Komonjdjari,4350851.212
2016,Yagha,2755778.072
2016,Yatenga,3829584.61
2016,Bankass,4097126.947
2016,Loroum,1241170.374
2016,Djenne,3097840.426
2016,Seno,2191128.797
2016,Koro,3999735.77
2016,Soum,2930202.414
2016,Bandiagara,4125590.349
2016,Oudalan,1525920.543
2016,Tenenkou,7123152.875
2016,Mopti,4148183.819
2016,Youwarou,2586925.43
2016,Douentza,6284136.051
2016,Niafunke,910556.336
2016,Dire,226035.104
2016,Ansongo,1485271.924
2016,Gourma-Rharous,3231535.4
2016,Gao,1513647.596
2016,Menaka,1433246.657
2016,Bourem,110622.952
2016,Abala,727945.33
2016,Ayerou,282355.046
2016,Banibangou,349213.961
2016,Filingue,977955.194
2016,Ouallam,1158132.649
2016,Say,5203655.619
2016,Tera,2002669.147
2016,Tillia,633960.181
2016,Torodi,2989018.67
2017,Komonjdjari,4177251.985
2017,Yagha,3001042.868
2017,Yatenga,3586424.757
2017,Bankass,4137864.91
2017,Loroum,1307816.824
2017,Djenne,2246521.062
2017,Seno,2358724.251
2017,Koro,3733688.789
2017,Soum,2934840.708
2017,Bandiagara,3221538.052
2017,Oudalan,1584039.825
2017,Tenenkou,4895184.809
2017,Mopti,2820563.538
2017,Youwarou,1947662.009
2017,Douentza,4735975.264
2017,Niafunke,740667.643
2017,Dire,225652.523
2017,Ansongo,1089609.75
2017,Gourma-Rharous,2933768.622
2017,Gao,1629593.028
2017,Menaka,2104010.969
2017,Bourem,119433.607
2017,Abala,1059033.925
2017,Ayerou,252055.111
2017,Banibangou,545590.297
2017,Filingue,1080090.086
2017,Ouallam,1663533.318
2017,Say,5249469.145
2017,Tera,2438273.275
2017,Tillia,1254584.524
2017,Torodi,3134820.844
2018,Komonjdjari,3578603.737
2018,Yagha,2951835.354
2018,Yatenga,3958502.509
2018,Bankass,4443407.641
2018,Loroum,1409576.619
2018,Djenne,2561126.285
2018,Seno,2275446.782
2018,Koro,4103339.354
2018,Soum,3195111.429
2018,Bandiagara,3500279.016
2018,Oudalan,2067325.316
2018,Tenenkou,5759947.3
2018,Mopti,2949172.02
2018,Youwarou,2105654.13
2018,Douentza,5361482.092
2018,Niafunke,598520.82
2018,Dire,156058.142
2018,Ansongo,2318697.936
2018,Gourma-Rharous,4132262.791
2018,Gao,2684907.803
2018,Menaka,2698768.561
2018,Bourem,157983.244
2018,Abala,666584.321
2018,Ayerou,265139.699
2018,Banibangou,302430.996
2018,Filingue,1067067.389
2018,Ouallam,1227538.468
2018,Say,5127557.709
2018,Tera,2451600.566
2018,Tillia,1196345.67
2018,Torodi,2832591.761
