,reference_year,adm2_name,conflicts,fatalities
0,2014.0,Abala,0,0
1,2014.0,Ansongo,5,9
2,2014.0,Ayerou,0,0
3,2014.0,Bandiagara,0,0
4,2014.0,Banibangou,1,2
5,2014.0,Bankass,0,0
6,2014.0,Bourem,10,14
7,2014.0,Dire,0,0
8,2014.0,Djenne,0,0
9,2014.0,Douentza,1,1
10,2014.0,Filingue,0,0
11,2014.0,Gao,20,82
12,2014.0,Gourma-Rharous,0,0
13,2014.0,Komonjdjari,0,0
14,2014.0,Koro,0,0
15,2014.0,Loroum,0,0
16,2014.0,Menaka,6,7
17,2014.0,Mopti,0,0
18,2014.0,Niafunke,1,0
19,2014.0,Ouallam,3,13
20,2014.0,Oudalan,0,0
21,2014.0,Say,0,0
22,2014.0,Seno,1,0
23,2014.0,Soum,3,0
24,2014.0,Tenenkou,0,0
25,2014.0,Tera,0,0
26,2014.0,Tillia,0,0
27,2014.0,Torodi,0,0
28,2014.0,Yagha,0,0
29,2014.0,Yatenga,1,3
30,2014.0,Youwarou,0,0
31,2015.0,Abala,0,0
32,2015.0,Ansongo,6,13
33,2015.0,Ayerou,0,0
34,2015.0,Bandiagara,0,0
35,2015.0,Banibangou,0,0
36,2015.0,Bankass,1,1
37,2015.0,Bourem,8,22
38,2015.0,Dire,2,4
39,2015.0,Djenne,1,1
40,2015.0,Douentza,6,21
41,2015.0,Filingue,0,0
42,2015.0,Gao,18,39
43,2015.0,Gourma-Rharous,7,32
44,2015.0,Komonjdjari,0,0
45,2015.0,Koro,1,4
46,2015.0,Loroum,0,0
47,2015.0,Menaka,12,27
48,2015.0,Mopti,6,19
49,2015.0,Niafunke,2,19
50,2015.0,Ouallam,0,0
51,2015.0,Oudalan,2,1
52,2015.0,Say,0,0
53,2015.0,Seno,1,0
54,2015.0,Soum,2,2
55,2015.0,Tenenkou,10,31
56,2015.0,Tera,0,0
57,2015.0,Tillia,0,0
58,2015.0,Torodi,0,0
59,2015.0,Yagha,0,0
60,2015.0,Yatenga,9,0
61,2015.0,Youwarou,1,1
62,2016.0,Abala,0,0
63,2016.0,Ansongo,2,2
64,2016.0,Ayerou,1,3
65,2016.0,Bandiagara,1,0
66,2016.0,Banibangou,1,7
67,2016.0,Bankass,0,0
68,2016.0,Bourem,1,2
69,2016.0,Dire,0,0
70,2016.0,Djenne,3,15
71,2016.0,Douentza,21,58
72,2016.0,Filingue,0,0
73,2016.0,Gao,13,17
74,2016.0,Gourma-Rharous,8,9
75,2016.0,Komonjdjari,0,0
76,2016.0,Koro,3,5
77,2016.0,Loroum,0,0
78,2016.0,Menaka,8,16
79,2016.0,Mopti,6,9
80,2016.0,Niafunke,2,5
81,2016.0,Ouallam,0,0
82,2016.0,Oudalan,4,13
83,2016.0,Say,0,0
84,2016.0,Seno,0,0
85,2016.0,Soum,13,19
86,2016.0,Tenenkou,6,27
87,2016.0,Tera,2,3
88,2016.0,Tillia,0,0
89,2016.0,Torodi,0,0
90,2016.0,Yagha,0,0
91,2016.0,Yatenga,2,0
92,2016.0,Youwarou,0,0
93,2017.0,Abala,1,8
94,2017.0,Ansongo,34,37
95,2017.0,Ayerou,5,26
96,2017.0,Bandiagara,5,12
97,2017.0,Banibangou,0,0
98,2017.0,Bankass,3,3
99,2017.0,Bourem,15,18
100,2017.0,Dire,2,7
101,2017.0,Djenne,24,20
102,2017.0,Douentza,50,90
103,2017.0,Filingue,0,0
104,2017.0,Gao,32,96
105,2017.0,Gourma-Rharous,14,31
106,2017.0,Komonjdjari,1,0
107,2017.0,Koro,18,95
108,2017.0,Loroum,4,3
109,2017.0,Menaka,41,131
110,2017.0,Mopti,11,22
111,2017.0,Niafunke,11,15
112,2017.0,Ouallam,2,24
113,2017.0,Oudalan,10,5
114,2017.0,Say,0,0
115,2017.0,Seno,1,1
116,2017.0,Soum,69,63
117,2017.0,Tenenkou,22,50
118,2017.0,Tera,7,12
119,2017.0,Tillia,0,0
120,2017.0,Torodi,0,0
121,2017.0,Yagha,0,0
122,2017.0,Yatenga,3,3
123,2017.0,Youwarou,3,0
124,2018.0,Abala,10,64
125,2018.0,Ansongo,56,86
126,2018.0,Ayerou,16,42
127,2018.0,Bandiagara,9,14
128,2018.0,Banibangou,2,0
129,2018.0,Bankass,22,67
130,2018.0,Bourem,15,28
131,2018.0,Dire,2,0
132,2018.0,Djenne,35,153
133,2018.0,Douentza,86,160
134,2018.0,Filingue,1,8
135,2018.0,Gao,48,71
136,2018.0,Gourma-Rharous,33,50
137,2018.0,Komonjdjari,15,6
138,2018.0,Koro,75,213
139,2018.0,Loroum,14,8
140,2018.0,Menaka,61,384
141,2018.0,Mopti,31,62
142,2018.0,Niafunke,13,21
143,2018.0,Ouallam,13,35
144,2018.0,Oudalan,26,10
145,2018.0,Say,2,3
146,2018.0,Seno,2,0
147,2018.0,Soum,91,164
148,2018.0,Tenenkou,40,139
149,2018.0,Tera,5,3
150,2018.0,Tillia,2,9
151,2018.0,Torodi,14,15
152,2018.0,Yagha,6,2
153,2018.0,Yatenga,9,0
154,2018.0,Youwarou,14,49
155,2019.0,Abala,7,11
156,2019.0,Ansongo,25,50
157,2019.0,Ayerou,15,33
158,2019.0,Bandiagara,40,157
159,2019.0,Banibangou,3,1
160,2019.0,Bankass,47,298
161,2019.0,Bourem,6,4
162,2019.0,Dire,5,4
163,2019.0,Djenne,7,12
164,2019.0,Douentza,66,163
165,2019.0,Filingue,1,0
166,2019.0,Gao,25,19
167,2019.0,Gourma-Rharous,11,28
168,2019.0,Komonjdjari,8,21
169,2019.0,Koro,59,176
170,2019.0,Loroum,13,82
171,2019.0,Menaka,22,119
172,2019.0,Mopti,19,53
173,2019.0,Niafunke,3,0
174,2019.0,Ouallam,11,38
175,2019.0,Oudalan,43,37
176,2019.0,Say,0,0
177,2019.0,Seno,11,6
178,2019.0,Soum,120,570
179,2019.0,Tenenkou,18,59
180,2019.0,Tera,10,2
181,2019.0,Tillia,1,0
182,2019.0,Torodi,16,11
183,2019.0,Yagha,13,5
184,2019.0,Yatenga,19,58
185,2019.0,Youwarou,2,0
