admin0Name,admin1Name,admin2Name,location,latitude,longitude
Burkina Faso,Est,Kompienga,Pama,11.2497,0.7075
Burkina Faso,Est,Gourma,Nassougou,12.0740,1.1810
Burkina Faso,Est,Tapoa,Yeritaga,12.7633,1.2627
Burkina Faso,Est,Komonjdjari,Dagou,12.7508,1.0840
Burkina Faso,Nord,Passore,Yako,12.9600,-2.2700
Burkina Faso,Nord,Zondoma,Gourcy,13.2100,-2.3600
Burkina Faso,Est,Gnagna,Liptougou,13.1745,0.3210
Burkina Faso,Sahel,Yagha,Mansila,13.1650,0.6390
Burkina Faso,Nord,Yatenga,Ouahigouya,13.5828,-2.4216
Mali,Mopti,Bankass,Boundouherou,13.4854,-3.7341
Burkina Faso,Nord,Loroum,Titao,13.7677,-2.0710
Mali,Mopti,Djenne,Marebougou,14.0876,-4.4289
Burkina Faso,Sahel,Seno,Dori,14.0400,-0.0300
Mali,Mopti,Koro,Yoro,14.2793,-2.1354
Burkina Faso,Sahel,Soum,Aribinda,14.2296,-0.8654
Mali,Mopti,Bandiagara,Bandiagara,14.3493,-3.6102
Burkina Faso,Sahel,Oudalan,Deou,14.6008,-0.7190
Mali,Mopti,Tenenkou,Nouhoun-Peuhl,14.1700,-4.9100
Mali,Mopti,Mopti,Sevare,14.5297,-4.0922
Mali,Mopti,Douentza,Petaka,15.0200,-2.8490
Mali,Tombouctou,Niafunke,Dianke,15.7265,-4.6420
Mali,Tombouctou,Dire,Dire,16.2570,-3.4013
Mali,Gao,Ansongo,Ansongo,15.6597,0.5022
Mali,Tombouctou,Gourma-Rharous,Gourma-Rharous,16.8778,-1.9231
Mali,Gao,Gao,Gao,16.2717,-0.0447
Mali,Gao,Menaka,Menaka,15.9182,2.4022
Mali,Gao,Bourem,Bourem,16.9550,-0.3486
Mali,Tombouctou,Goundam,Goundam,16.4167,-3.6667
Mali,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056
Niger,Tillaberi,Banibangou,Bani Bangou,15.0416,2.7037
Niger,Tillaberi,Filingue,Tiguezefen,15.2134,3.3609
Niger,Tillaberi,Kollo,Koutoukale Zeno,13.6938,1.7434
Niger,Tillaberi,Ouallam,Ouallam,14.3188,2.0866
Niger,Tillaberi,Say,Bolsi,13.2944,1.2142
Niger,Tahoua,Tahoua,Tahoua,14.8900,5.2700
Niger,Tahoua,Tassara,Tassara,16.7999,5.6499
Niger,Tillaberi,Tera,Bangare,13.7839,0.6239
Niger,Tillaberi,Tillaberi,Ayerou,14.7326,0.9109
Niger,Tahoua,Tillia,Tankademi,15.7500,3.9000
